fold,text,intents,intent_span,intent_span_4o
fold0,how much did I spend on pharmacy 8 weeks ago,['how_much'],pharmacy/8 weeks ago/how much,spend/how much/pharmacy/8 weeks ago
fold0,"I think i visited LA VN like 5 times lately, did I spend more than 400 in groceries","['request_info', 'more_higher_after', 'transfer_payment_deposit']",visited LA/5 times,spend/more than 400
fold0,when will I receive my mortgage?,"['mortgage', 'when']",when will I receive/my mortgage,mortgage/receive/when
fold0,when will I be able to see my balance online again?,"['balance', 'when']",see my balance online/when,balance/when
fold0,"Hello, I'm just quickly calling to let you know that what we discussed 15 minutes ago is correct.","['affirm', 'greet']",what we discussed 15 minutes ago is correct/Hello,correct/Hello
fold0,hello and thank you!,"['thank', 'greet']",thank you/hello,thank you/hello
fold0,"it's the correct pin, but it just doesn't let me through...","['pin', 'affirm', 'wrong_notworking_notshowing']",correct pin/doesn't let me through,doesn't let me through/correct pin
fold0,the number i use to log in to the app,['pin'],the number/log in to the app,log in/app
fold0,thanks get me an appointment,"['appointment', 'thank', 'make_open_apply_setup_get_activate']",thanks/get me an appointment,get me an appointment/thanks
fold0,thanks! send the debit card to my usual address,"['debit', 'thank', 'card']",thanks/send the debit card to my usual address,debit card/thanks/send/usual address
fold0,Do you directly charge my current account when I use this debit card?,"['current', 'card', 'request_info', 'account', 'debit', 'transfer_payment_deposit']",current account/directly charge,debit card/current account
fold0,i am not sure if it is debit,"['debit', 'dont_know']",not sure/debit,debit/not sure
fold0,i want to do a card withdrawal of 73 pounds,"['withdrawal', 'card', 'make_open_apply_setup_get_activate']",card withdrawal/73 pounds,card/withdrawal
fold0,do your atms support contactless withdrawals?,"['withdrawal', 'contactless', 'card', 'request_info']",contactless withdrawals,atms/withdrawals/contactless
fold0,i cant take cash from an atm with my card,"['wrong_notworking_notshowing', 'card', 'withdrawal']",atm/can't take cash/my card,atm/take cash/my card
fold0,how can I get a card for my saving account?,"['savings', 'account', 'how', 'card', 'make_open_apply_setup_get_activate']",saving account/how can I get a card,saving account/get/card/how
fold0,How can I ask for a refund from Amazon Prime Video?,"['refund', 'make_open_apply_setup_get_activate', 'how']",Amazon Prime Video/refund,How can I ask for/refund/Amazon Prime Video
fold0,Is it possible to pay utility bills in the post office using my visa?,"['card', 'transfer_payment_deposit', 'request_info']",visa/post office/pay utility bills,post office/pay utility bills/visa
fold0,"No, this direct debit to M&S didn't exist before.","['direct_debit', 'deny', 'existing']",direct debit to M&S/No/didn't exist before,No/direct debit/didn't exist before
fold0,What is the relation between my current balance and direct debit,"['balance', 'direct_debit', 'request_info']",current balance/direct debit,current balance/direct debit
fold0,What are the restrictions on direct debit payments?,"['request_info', 'direct_debit', 'transfer_payment_deposit']",restrictions/direct debit payments,restrictions/direct debit payments
fold0,What is the monthly limit for contactless spending?,"['contactless', 'limits', 'request_info', 'transfer_payment_deposit']",contactless spending/monthly limit,contactless spending/monthly limit
fold0,I don't remember if it was contactless or not,"['dont_know', 'contactless']",contactless,not/contactless
fold0,But I'm eating less,['less_lower_before'],eating,less
fold0,"maybe, can i lower my overdraft then?","['overdraft', 'change', 'request_info', 'dont_know', 'less_lower_before']",lower my overdraft,overdraft/lower
fold0,"I know it's a small amount of money, but I want that 40€ back!",['refund'],40€/small amount of money/want,40€ back/want
fold0,I've been waiting for the reimbursement for too long now.,"['refund', 'wrong_notworking_notshowing']",waiting for the reimbursement/reimbursement,reimbursement/too long
fold0,could you please tell me why was my loan declined?,"['loan', 'wrong_notworking_notshowing', 'why']",loan declined/why,declined/loan/why
fold0,"Why is my loan rate so high now, what the hell?","['fees_interests', 'request_info', 'more_higher_after', 'loan', 'why']",so high/loan rate/what the hell,loan rate/now/Why/so high
fold0,i need to cancel the meeting tomorrow at 10 past 9 night to talk about my mortgage,"['cancel_close_leave_freeze', 'appointment', 'mortgage']",meeting/10 past 9 night/mortgage/cancel/tomorrow,mortgage/cancel the meeting
fold0,I'd like to book an appointment,"['appointment', 'make_open_apply_setup_get_activate']",book an appointment,appointment/book
fold0,this is my first mortgage so some more info on fees would be helpful,"['mortgage', 'request_info', 'fees_interests']",first mortgage/more info on fees,first mortgage/more info on fees/helpful
fold0,I wanted to learn more about how to apply for a mortgage,"['mortgage', 'make_open_apply_setup_get_activate', 'request_info']",apply for a mortgage,mortgage/learn more/how to apply
fold0,What is my biggest expenditure this week,"['request_info', 'more_higher_after', 'transfer_payment_deposit']",biggest expenditure,this week/biggest expenditure
fold0,what happened with my interest rates in this quarter?,"['fees_interests', 'request_info']",interest rates/this quarter,interest rates
fold0,I need more info on your loan rates and fees,"['loan', 'request_info', 'fees_interests']",more info/fees/loan rates,loan rates/fees/more info
fold0,I want to cancel my loan,"['loan', 'cancel_close_leave_freeze']",cancel my loan,cancel/loan
fold0,Just stop and let me talk to a real person,['handoff'],let me talk to a real person/stop,talk to a real person/stop
fold0,no i dont want to make a transfer please let me speak with someone else,"['deny', 'transfer_payment_deposit', 'handoff']",no i dont want to make a transfer/please let me speak with someone else,make a transfer/no i dont want to/speak with someone else
fold0,"I want to increase my top up limit, I need the money by Wednesday!","['change', 'limits', 'more_higher_after', 'transfer_payment_deposit']",I need the money by Wednesday/my top up limit/increase,increase/need the money by Wednesday/top up limit
fold0,it's more than this for sure,['more_higher_after'],this/more/than,more
fold0,what is the monthly limit on deposits for your ExFlex savings account?,"['how_much', 'limits', 'savings', 'account', 'transfer_payment_deposit']",ExFlex savings account/deposits/monthly limit,deposits/ExFlex savings account/monthly limit
fold0,"i made a payment to cancel my overdraft but its still pending, thats unfair and i won't pay any fees","['cancel_close_leave_freeze', 'wrong_notworking_notshowing', 'transfer_payment_deposit', 'overdraft', 'fees_interests']",still pending/cancel my overdraft/won't pay any fees,won't pay any fees/still pending/cancel my overdraft
fold0,i wanted to change the time,['change'],time/change,time/change
fold0,make it bigger please,['change'],make it bigger,bigger/make/please
fold0,current balance,"['how_much', 'balance']",balance/current,balance/current
fold0,current total balance,"['how_much', 'balance']",current/total balance,current/total balance
fold0,How much would you charge for a transfer of 56.79 pounds to a EU country?,"['how_much', 'transfer_payment_deposit', 'fees_interests', 'international']",How much/transfer of 56.79 pounds/EU country,How much/transfer
fold0,How do I check my balance?,"['balance', 'request_info']",my balance/How/check,balance/check/How
fold0,can i transfer 700£ to guy kephart in 7 days,"['make_open_apply_setup_get_activate', 'transfer_payment_deposit']",700£/transfer/guy kephart/7 days,7 days/700£/transfer
fold0,"I really don't know, but I'd say it was around 3800 pounds",['dont_know'],don't know/around 3800 pounds,don't know/3800 pounds
fold0,Is there any difference between interest rates on your savings accounts?,"['request_info', 'fees_interests', 'savings', 'account']",interest rates/savings accounts,interest rates/savings/accounts
fold0,a query about fees and interests,['fees_interests'],query about/fees and interests,interests/fees
fold0,can we come in half an hour?,['request_info'],half an hour,come in/half an hour
fold0,Is it important to have the same address for my current account and for my utility bills?,"['current', 'account', 'request_info']",current account/utility bills,same address/current account/important
fold0,a current account,"['current', 'account']",current account,account/current
fold0,I don't need that account any more so you can close it at any time starting tomorrow.,"['account', 'cancel_close_leave_freeze']",starting tomorrow/close it,close it/any time starting tomorrow
fold0,Can I send some cash abroad?,"['international', 'transfer_payment_deposit', 'make_open_apply_setup_get_activate']",send some cash abroad,abroad/send
fold0,Is it okay if my address is overseas?,"['international', 'request_info']",overseas,address/overseas
fold0,Which documents do I need to open a new bank account?,"['make_open_apply_setup_get_activate', 'request_info', 'account', 'new']",open a new bank account,bank account/Which documents/new/open
fold0,i want to make a transfer to an existing account,"['make_open_apply_setup_get_activate', 'transfer_payment_deposit', 'account', 'existing']",make a transfer/existing account,existing account/make/transfer
fold0,I can't tell,['dont_know'],I can't tell,can't tell
fold0,make it on Thursday,['make_open_apply_setup_get_activate'],make it/on Thursday,Thursday/make
fold0,make a top up,"['make_open_apply_setup_get_activate', 'transfer_payment_deposit']",top up/make,top up/make
fold0,do it with a card,['card'],do it with a card,card
fold0,I topped up my card but it seems it didn't go through yet,"['wrong_notworking_notshowing', 'card', 'transfer_payment_deposit']",topped up/card/didn't go through,topped up/didn't go through/yet/card
fold0,yeah that's fully fine.,['affirm'],fully fine,fully fine/yeah
fold0,"Yes, I did pay by cash","['affirm', 'transfer_payment_deposit']",Yes/pay by cash,pay by cash/Yes
fold0,I didn't pay by cash,"['deny', 'transfer_payment_deposit']",by cash/didn't pay,didn't pay
fold0,No!,['deny'],No!,No
fold0,Has my money been received?,"['transfer_payment_deposit', 'request_info']",money/received,received
fold0,My top up won't show,"['wrong_notworking_notshowing', 'transfer_payment_deposit']",won't show/My top up,top up/won't show
fold0,Read that out for me please,['request_info'],Read/that out for me please,out for me please/Read
fold0,this is totally wrong,['wrong_notworking_notshowing'],totally wrong,wrong
fold0,it was changed back,['wrong_notworking_notshowing'],it was changed back,changed/back
fold1,how much time do I have to wait until i can do payments again?,"['transfer_payment_deposit', 'how_long']",wait until i can do payments again/how much time,payments/how much time
fold1,tell me about your business accounts,"['request_info', 'business', 'account']",business accounts,accounts/business
fold1,Are overdraft limits higher for business accounts?,"['request_info', 'overdraft', 'limits', 'more_higher_after', 'business', 'account']",higher/overdraft limits/business accounts,higher/limits/overdraft/business accounts
fold1,I don't need my standing order I set up for charis klinefelter,"['standing_order', 'cancel_close_leave_freeze']",standing order/charis klinefelter,standing order/cancel_close_leave_freeze
fold1,"i see, then i don't need anything else","['acknowledge', 'end_call']",i see/i don't need anything else,i see/don't need anything else
fold1,"I see, we're done then, thank you!","['acknowledge', 'thank', 'end_call']",I see/thank you/we're done then,thank you/we're done then/I see
fold1,i see but When will you finally enable contactless payments with Marks and Spencer?,"['when', 'make_open_apply_setup_get_activate', 'contactless', 'transfer_payment_deposit', 'acknowledge']",Marks and Spencer/enable contactless payments/When,When/contactless payments/enable
fold1,Do you guys allow cheque deposits?,"['cheque', 'request_info', 'transfer_payment_deposit']",allow cheque deposits,cheque deposits
fold1,im trying to cash out a cheque but it doesnt seem to work,"['cheque', 'wrong_notworking_notshowing', 'transfer_payment_deposit']",cash out a cheque,cheque/cash out/doesnt seem to work
fold1,will the card arrive earlier than Wednesday in a week,"['request_info', 'arrival', 'card', 'less_lower_before']",card arrive earlier than Wednesday,card/Wednesday/earlier/in a week/arrive
fold1,"looks like hasn't arrived yet, im waiting for last 96 days on that!","['deny', 'arrival']",hasn't arrived yet,hasn't arrived/waiting for last 96 days
fold1,i lost my card last Thursday,"['lost_stolen', 'card']",last Thursday/card/lost,lost/card
fold1,"It's about my card, I'm afraid someone stole it","['lost_stolen', 'card']",someone stole it/card,someone stole it/card
fold1,can i get a credit card from the 15th,"['make_open_apply_setup_get_activate', 'request_info', 'credit', 'card']",15th/credit card,credit card/get/15th
fold1,when will you unblock my credit card finally?,"['credit', 'card', 'when', 'make_open_apply_setup_get_activate']",unblock my credit card/when,unblock/credit card/when
fold1,How much did I spend in total until January on Hyatt Gift?,"['how_much', 'transfer_payment_deposit']",did I spend/in total until January/on Hyatt Gift/How much,spend/How much/total
fold1,How much did I spend in total until May on amazon prime? Is it more than $8882?,"['how_much', 'transfer_payment_deposit', 'more_higher_after']",Is it more than $8882?/How much did I spend in total until May on amazon prime?,Is it more than $8882/in total until May/on amazon prime/How much
fold1,I started paying back my mortgage on the 7th of Jan 2018,"['mortgage', 'transfer_payment_deposit']",7th of Jan 2018/started paying back,mortgage/paying back
fold1,How much higher was my total on petrol this month?,"['how_much', 'more_higher_after']",How much higher/total on petrol,total/higher/How much
fold1,How much higher was my total  petrol this month?,"['how_much', 'more_higher_after']",How much higher/total petrol,higher/how much/total petrol this month
fold1,How much less did I spend on holiday on the current year?,"['transfer_payment_deposit', 'how_much', 'less_lower_before']",current year/less/How much,How much/less/current year
fold1,When exactly is our meeting on Saturday?,"['when', 'appointment']",meeting on Saturday/When exactly,on Saturday/When exactly/our meeting
fold1,When will I get there?,['when'],When,When/get there
fold1,"Hello, im not sure if you are the same person on the line as previously but I confirm it's all good","['affirm', 'greet']",confirm/not sure/Hello/all good,confirm/Hello/it's all good
fold1,good evening,['greet'],good evening,good evening
fold1,I forgot my pin! Any chance you can send me a new debit card?,"['debit', 'pin', 'dont_know', 'card', 'request_info', 'new']",send me a new debit card/forgot my pin,new debit card/forgot my pin
fold1,This is my pin,['pin'],pin,pin
fold1,thanks you for the balance update,"['thank', 'balance']",thanks you/balance update,balance/thanks
fold1,"Thank you very much, I didn't know machines could also be helpful",['thank'],I didn't know/Thank you very much,Thank you/I didn't know
fold1,yesterday at 5 past 7 I had my debit card rejected in Snappy Snaps,"['debit', 'card', 'wrong_notworking_notshowing']",Snappy Snaps/rejected/debit card,debit card/rejected
fold1,"No, it isn't a debit one","['debit', 'deny']",No/isn't/debit,debit/No
fold1,How do I take money from an ATM machine,"['withdrawal', 'how']",ATM machine/How do I take money,ATM machine/How/take money
fold1,can i withdraw some money directly from my savings account?,"['withdrawal', 'request_info', 'savings', 'account']",withdraw/savings account/some money,savings account/withdraw
fold1,What is the procedure to change my address in the system?,"['change', 'how']",change my address,change my address
fold1,How can I find out the list of people who paid money to my account previous month?,"['how', 'transfer_payment_deposit', 'account']",to my account/previous month/find out/paid money/list of people/How,list of people who paid money to my account/How/previous month
fold1,how much did i spend on telegraph subscription the week of the 1st,"['how_much', 'transfer_payment_deposit']",the week of the 1st/on telegraph subscription/how much/did i spend,spend/how much/the week of the 1st/telegraph subscription
fold1,how much did i pay for telegraph subscription the week of the 1st,"['how_much', 'transfer_payment_deposit']",did i pay/for telegraph subscription/the week of the 1st/how much,telegraph subscription/how much/the week of the 1st/pay
fold1,remove the direct debit for scribbler,"['cancel_close_leave_freeze', 'direct_debit']",scribbler/direct debit/remove,remove/direct debit
fold1,i want to set up a new direct debit,"['direct_debit', 'make_open_apply_setup_get_activate', 'new']",set up/new direct debit,direct debit/new/set up
fold1,direct debit,['direct_debit'],direct debit,direct debit
fold1,Can I pay contactless in that store?,"['contactless', 'transfer_payment_deposit', 'request_info']",pay contactless,that store/pay contactless
fold1,I paid by card but contactless,"['contactless', 'transfer_payment_deposit', 'card']",I paid by card/contactless,card/contactless
fold1,Can you tell me more about how to decrease it?,"['change', 'request_info', 'less_lower_before']",decrease/more,how/decrease/more
fold1,do you offer any rate reductions on your mortgages like other banks?,"['fees_interests', 'less_lower_before', 'mortgage', 'request_info']",mortgages/rate reductions,mortgages/rate reductions
fold1,yes refund me the £27,"['refund', 'affirm']",yes/£27/refund me,yes/refund
fold1,I want a refund,['refund'],refund,refund
fold1,please explain me the reason for it being higher than last time,"['more_higher_after', 'why']",higher/last time,higher/reason/last time
fold1,"I transferred some money to partner overseas last month, but this is still pending. whats going on?","['wrong_notworking_notshowing', 'international', 'transfer_payment_deposit', 'why']",pending/transferred some money/partner overseas,transferred/pending/money/whats going on/partner overseas
fold1,can i get a meeting to talk about my savings account,"['appointment', 'savings', 'account', 'make_open_apply_setup_get_activate']",savings account/meeting,meeting/savings account
fold1,Does card activation work via app or do I need to schedule a meeting at the branch?,"['card', 'make_open_apply_setup_get_activate', 'request_info', 'appointment']",card activation/schedule a meeting/work via app,via app/card activation/at the branch/schedule a meeting
fold1,i want to open another mortgage next month.,"['mortgage', 'make_open_apply_setup_get_activate']",open/another mortgage,mortgage/open/next month
fold1,I think so. Can you give me some mortgage options?,"['affirm', 'mortgage', 'request_info']",I think so./Can you give me some mortgage options?,I think so/mortgage options
fold1,What was my total income this month,['how_much'],total income,total income/this month
fold1,can I extend my loan for a year,"['more_higher_after', 'loan', 'change']",loan/extend/for a year,extend/loan/for a year
fold1,I wanted to ask about loans,"['loan', 'request_info']",loans,loans/ask about
fold1,borrow money from a bank,['loan'],borrow money/from a bank,borrow money/bank
fold1,this conversation is not working at all,['handoff'],not working,not working
fold1,I really have no idea what you're referring to and would like to speak to a real person.,"['dont_know', 'handoff']",speak to a real person/no idea,would like to speak to a real person/no idea
fold1,i has to be later than 0 35 a.m.,['more_higher_after'],0 35 a.m./later than,later than 0 35 a.m.
fold1,I want to increase it,"['change', 'more_higher_after']",increase,increase
fold1,I want to change my limit to 400 dollars,"['limits', 'change']",limit/change,limit/change
fold1,What is my overdraft limit?,"['limits', 'overdraft', 'request_info']",overdraft limit,overdraft/limit
fold1,asking about possible overdrafts,['overdraft'],asking about possible overdrafts,overdrafts
fold1,Can I change the date for a speficic scheduled transfer in my current account?,"['change', 'account', 'transfer_payment_deposit', 'current']",current account/specific scheduled transfer/change/date,change the date/scheduled transfer/current account
fold1,i need to change my details,['change'],my details/change,details/change
fold1,how much i pay per transfer in my savings account?,"['fees_interests', 'account', 'savings', 'transfer_payment_deposit', 'how_much']",i pay per transfer/how much/my savings account,how much/savings account/transfer/pay
fold1,Where can I see the balance of my disposable card?,"['balance', 'card', 'request_info']",balance/disposable card,balance/see/card
fold1,I can't see the balance on my phone,"['wrong_notworking_notshowing', 'balance']",balance/can't see,balance/can't see
fold1,i made a 9700 pounds transfer 7 days ago and it is still pending,"['wrong_notworking_notshowing', 'transfer_payment_deposit']",9700 pounds/7 days ago,pending/transfer/7 days ago
fold1,"I should have received $200 from brandalynn darrah, but it still not here.","['wrong_notworking_notshowing', 'transfer_payment_deposit']",received $200/brandalynn darrah,received $200/brandalynn darrah/still not here
fold1,is it possible to open another savings account under the same name princeston moralez,"['make_open_apply_setup_get_activate', 'account', 'savings', 'request_info']",same name princeston moralez/open another savings account,under the same name princeston moralez/open another savings account
fold1,"its described as ""savings""",['savings'],savings,savings
fold1,are there any hidden fees?,"['fees_interests', 'request_info']",hidden fees,hidden fees
fold1,i only wanted to check if that action had any interests,"['request_info', 'fees_interests']",check,interests/check
fold1,i am trying to check the transactions of my current account but they are not showing,"['wrong_notworking_notshowing', 'request_info', 'current', 'transfer_payment_deposit', 'account']",current account/transactions,check the transactions/not showing/current account
fold1,it is a current account,"['current', 'account']",current account,account/current
fold1,I want to terminate my account with you,"['cancel_close_leave_freeze', 'account']",terminate/account,account/terminate
fold1,I want to close this account,"['cancel_close_leave_freeze', 'account']",close/account,account/close
fold1,can I open account in zloty or koronas?,"['account', 'request_info', 'international', 'make_open_apply_setup_get_activate']",zloty/open account/koronas,koronas/zloty/open account
fold1,This is an international payment,"['international', 'transfer_payment_deposit']",international payment,international/payment
fold1,about my accounts,['account'],my accounts/about,accounts
fold1,I have no idea whatsoever.,['dont_know'],no idea,no idea
fold1,i want to make a top up using the mobile application,"['make_open_apply_setup_get_activate', 'transfer_payment_deposit']",mobile application/make a top up,mobile application/make a top up
fold1,I want to activate it,['make_open_apply_setup_get_activate'],activate,activate
fold1,"my card is broken since yesterday, i cant make payments","['wrong_notworking_notshowing', 'card', 'transfer_payment_deposit']",since yesterday/card/broken/can't make payments,make payments/broken/card
fold1,i will do it using my card,['card'],card,card
fold1,"hmm, that doesn't work for me, how about November the 12th?",['deny'],hmm/doesn't work/November the 12th,that doesn't work for me/how about November the 12th
fold1,"yep, I asked for that numerous times","['affirm', 'request_info']",asked,numerous times/asked for/yep
fold1,That's exactly it,['affirm'],That's exactly it,That's exactly it
fold1,That ain't it,['deny'],ain't,ain't
fold1,That's not what I said,['deny'],That's not what I said,not
fold1,Will my payment be used for the top up?,"['transfer_payment_deposit', 'request_info']",payment,top up/payment
fold1,I was paying by cash,['transfer_payment_deposit'],cash/paying,paying by cash
fold1,Can you give me the list of my stored contacts?,['request_info'],list of my stored contacts,stored contacts/list
fold1,the phone number is not good,['wrong_notworking_notshowing'],phone number,phone number/not good
fold1,It is pending,['wrong_notworking_notshowing'],pending,pending
fold1,It is an existing one,['existing'],existing,existing
fold2,How long am I allowed to borrow for,"['loan', 'how_long']",borrow for/How long,borrow/How long
fold2,can I get an appointment anytime between 12:45 p.m. and 25 past 17 afternoon,"['make_open_apply_setup_get_activate', 'appointment']",appointment,anytime between 12:45 p.m. and 25 past 17 afternoon/get/appointment
fold2,can we change my appointment at 5 past 12 p.m.,"['change', 'appointment']",appointment/change,5 past 12 p.m./appointment/change
fold2,Do we get more than 1 pin with each card?,"['pin', 'card', 'more_higher_after', 'request_info']",more than 1/pin,more than 1 pin/each card
fold2,"I spent a lot recently so I had to top up, but it's been hours from that and my account says I'm still broke","['wrong_notworking_notshowing', 'balance', 'overdraft', 'transfer_payment_deposit']",account says I'm still broke/top up/spent a lot recently/hours,top up/hours/spent a lot recently/account says I'm still broke
fold2,i don't need the business account anymore,"['cancel_close_leave_freeze', 'business', 'account']",i don't need/business account,don't need/business account
fold2,can you set up an standing order to kirin engelhart for $340 on the 2nd of each month,"['make_open_apply_setup_get_activate', 'standing_order']",set up/$340/standing order/kirin engelhart/2nd of each month,standing order/2nd of each month/set up/$340
fold2,"This is definitely a wrong standing order, please remove it.","['standing_order', 'cancel_close_leave_freeze']",standing order/wrong/remove,remove it/wrong standing order
fold2,"25 to 11 morning then, bye",['end_call'],bye/25 to 11/morning,bye
fold2,Ciao,['end_call'],Ciao,Ciao
fold2,Ok at 4,['acknowledge'],Ok,4/Ok
fold2,I can't find my card right now so I hope they accept cash or cheques.,"['cheque', 'lost_stolen', 'card']",can't find my card/accept cash or cheques,accept cash/cheques/can't find my card
fold2,i was paid by cheque,"['cheque', 'transfer_payment_deposit']",paid/cheque,cheque/paid
fold2,"I actually called about that other thing, but can you also tell me when can I expect that new card to come?","['arrival', 'when', 'card', 'new']",new card/when can I expect,new card/when can I expect
fold2,Nothing arrived yesterday.,['arrival'],arrived yesterday/Nothing,yesterday/Nothing arrived
fold2,"Huh, i lost my card 8 days ago.","['lost_stolen', 'card']",my card/lost,lost/card
fold2,someone stole it from me,['lost_stolen'],someone,someone stole
fold2,my credit card payment was reverted,"['wrong_notworking_notshowing', 'card', 'credit', 'transfer_payment_deposit']",credit card payment/reverted,credit card/payment was reverted
fold2,How much is my current overdraft limit on my credit card?,"['how_much', 'card', 'credit', 'overdraft', 'limits']",current overdraft limit/How much,current/credit card/overdraft limit/How much
fold2,how much did I spend between the 30th and the 16th of Jun,"['how_much', 'transfer_payment_deposit']",did I spend/how much/between the 30th and the 16th of Jun,spend/between the 30th and the 16th of Jun/how much
fold2,"my interest rates are smaller now than 6 months ago, what's going on?","['fees_interests', 'less_lower_before', 'why']",smaller/interest rates/6 months ago,interest rates/what's going on/smaller now than 6 months ago
fold2,no! I started paying back my mortgage only from 21 June 2016,"['mortgage', 'transfer_payment_deposit', 'deny']",started paying back my mortgage/no,started paying back/no/21 June 2016
fold2,Has the price of family gone up,"['more_higher_after', 'request_info']",of family/gone up/Has/the price,gone up/price
fold2,How much more did I spend on bar this month?,"['more_higher_after', 'how_much', 'transfer_payment_deposit']",this month/How much more/spend on bar,How much/spend on bar this month/more
fold2,"If I add money to my account via the mobile app, when do you refresh the account balance?","['balance', 'when', 'transfer_payment_deposit', 'account']",refresh the account balance/mobile app/add money/account,mobile app/add/account balance/account/when
fold2,"I know that the offer started at 9:55 today, but when does it end?",['when'],when does it end?,end/when
fold2,Good evening,['greet'],Good evening,Good evening
fold2,"Hi, what information can you give me about bank cards?","['request_info', 'greet', 'card']",Hi/what information/bank cards,Hi/bank cards/information
fold2,"I would like to change my PIN, because I don't remember it.","['change', 'pin', 'dont_know']",change my PIN/don't remember it,change my PIN/don't remember it
fold2,is there any maximum amount of appointments i can ask for? thank you!,"['appointment', 'thank', 'limits', 'request_info']",maximum amount/appointments,thank you/maximum amount of appointments
fold2,im very grateful,['thank'],im,grateful
fold2,"So, both my debit cards are linked to the same current account? Can you freeze one of them?","['debit', 'cancel_close_leave_freeze', 'current', 'card', 'account']",current account/freeze/debit cards,same current account/freeze one of them/both my debit cards
fold2,Just freeze that debit card!,"['cancel_close_leave_freeze', 'debit', 'card']",freeze/debit card,debit card/freeze
fold2,It is not a debit card,"['debit', 'deny', 'card']",not a debit card,debit card/not
fold2,Do you charge any fees if I get euros from an ATM abroad?,"['fees_interests', 'international', 'withdrawal', 'request_info']",ATM abroad/euros/charge/fees,euros/fees
fold2,can i check if the withdrawal i did abroad was charged?,"['international', 'request_info', 'withdrawal']",check/withdrawal,abroad/check/charged/withdrawal
fold2,How do I ask for a refund?,"['refund', 'how', 'make_open_apply_setup_get_activate']",How do I ask/for a refund,refund/How
fold2,Which way can I increase the overdraft for my current account?,"['overdraft', 'more_higher_after', 'current', 'how', 'account', 'change']",current account/overdraft/increase,increase the overdraft/current account
fold2,did I spend more than 990 pounds in santore restaurant during the last week,"['request_info', 'more_higher_after', 'transfer_payment_deposit']",spend more than/990 pounds/santore restaurant/last week,did I spend/santore restaurant/more than 990 pounds/last week
fold2,What's the exact address of chipotle?,['request_info'],exact address/chipotle,chipotle/exact address
fold2,I want to perform a direct debit through the app,"['direct_debit', 'make_open_apply_setup_get_activate']",direct debit/through the app,direct debit/app
fold2,i need to cancel a direct debit so please show them to me,"['cancel_close_leave_freeze', 'direct_debit', 'request_info']",cancel direct debit,cancel/direct debit
fold2,"my card sometimes doesn't let me pay contactless, why is that?","['transfer_payment_deposit', 'contactless', 'card', 'wrong_notworking_notshowing', 'why']",sometimes/why/card/doesn't let me pay contactless,why/card/contactless
fold2,How does contactless work exactly?,"['contactless', 'request_info']",How/contactless,contactless/how
